;publico;renda;ano_cinematografico;tempo_exibicao2;internacional_nacional_Nacional;genero_Animação;genero_Documentário;genero_Ficção;genero_Não Classificada;genero_Vídeomusical;distribuidoras2_major;distribuidoras2_media;distribuidoras2_menores;log_renda
1449;41762;502379.98;2015;239;0;0;0;1;0;0;0;0;1;13.12711204461603
1450;41673;704430.15;2016;108;0;0;0;1;0;0;0;0;1;13.465144457073201
1451;41639;409503.99;2010;84;0;0;0;1;0;0;0;0;1;12.922701925817536
1452;41638;494536.15;2012;150;0;0;0;1;0;0;0;0;1;13.111375531518528
1453;41562;361321.23;2009;84;0;0;0;1;0;0;0;1;0;12.797522675442641
1454;41551;582631.15;2015;78;0;0;0;1;0;0;0;1;0;13.275309589294078
1455;41314;685647.29;2017;60;1;0;0;1;0;0;0;0;1;13.438118619966314
1456;41256;544268.6900000001;2016;18;0;0;0;1;0;0;0;1;0;13.207198319343174
1457;41192;535819.83;2015;72;0;0;0;1;0;0;0;0;1;13.191553245486176
1458;40987;428230.73;2012;210;0;0;0;1;0;0;0;0;1;12.967417418092824
1459;40652;452581.75;2014;54;0;0;0;1;0;0;0;1;0;13.022723688787952
1460;40588;121672.0;2011;66;1;0;0;1;0;0;0;0;1;11.709084178552205
1461;40429;679307.1900000001;2017;150;0;0;0;1;0;0;0;0;1;13.428828719548521
1462;40380;620034.01;2014;72;0;0;0;1;0;0;0;1;0;13.337529610355512
1463;39960;645964.2;2016;78;0;0;0;1;0;0;0;0;1;13.37849936327245
1464;39947;332640.59;2009;66;0;0;0;1;0;0;0;1;0;12.714817876779541
1465;39841;450479.5;2012;96;1;0;0;1;0;0;0;0;1;13.018067850000696
1466;39805;473207.65;2012;60;0;0;0;1;0;0;0;1;0;13.067289577481473
1467;39776;359890.58;2011;210;0;0;0;1;0;0;0;0;1;12.793555319787373
1468;39711;302345.72000000003;2012;216;0;1;0;0;0;0;0;1;0;12.61932640982144
1469;39628;350700.61;2011;126;1;0;1;0;0;0;0;0;1;12.767688175505143
1470;39623;564921.02;2017;114;0;0;0;1;0;0;0;0;1;13.24444121274676
1471;39619;565902.3200000001;2016;150;0;0;0;1;0;0;0;0;1;13.246176762786463
1472;39619;377698.8;2011;240;0;0;0;1;0;0;0;1;0;12.841852331570799
1473;39548;514528.72;2015;66;1;0;0;1;0;0;0;1;0;13.151006653883915
1474;39527;337172.28;2010;48;0;0;0;1;0;0;0;1;0;12.728349295325012
1475;39492;417528.67;2014;95;0;0;0;1;0;0;0;1;0;12.942108491574007
1476;39348;349158.54;2009;96;0;0;0;1;0;0;0;1;0;12.76328136737646
1477;39237;542520.79;2016;30;1;0;0;1;0;0;0;1;0;13.203981686243106
1478;39011;419562.07;2011;210;0;0;0;1;0;0;0;0;1;12.946966755803478
1479;38993;479275.5;2013;48;0;0;0;1;0;0;0;1;0;13.080030867630104
1480;38954;539208.52;2016;42;0;0;0;1;0;0;0;1;0;13.19785763964234
1481;38939;775564.11;2017;36;0;0;0;1;0;0;0;1;0;13.561345927427464
1482;38920;528209.53;2017;18;0;0;0;1;0;0;0;1;0;13.177248321090586
1483;38739;393592.81;2012;90;1;0;0;1;0;0;0;0;1;12.883072176716963
1484;38706;366261.43;2010;72;0;0;0;1;0;0;0;1;0;12.811102647017576
1485;38697;758590.69;2017;54;0;0;0;1;0;0;0;0;1;13.539217635554191
1486;38585;368348.46;2010;102;0;0;0;1;0;0;0;0;1;12.816784671295922
1487;38549;382831.18;2011;138;0;0;0;1;0;0;0;1;0;12.855349387699455
1488;38541;426018.28;2012;156;0;0;0;1;0;0;0;0;1;12.962237535128988
1489;38413;374253.17;2012;378;0;0;0;1;0;0;0;0;1;12.832687772519883
1490;38131;406964.78;2011;120;0;0;0;1;0;0;0;0;1;12.916481925053773
1491;38099;313177.79;2010;72;1;0;0;1;0;0;0;1;0;12.654526327429794
1492;38075;524262.14;2016;138;1;0;0;1;0;0;0;0;1;13.169747105386847
1493;37945;313227.0;2010;72;0;0;0;1;0;0;1;0;0;12.654683446279735
1494;37864;420829.0;2012;36;0;0;0;1;0;0;1;0;0;12.949981854380825
1495;37710;576768.09;2017;42;0;0;0;1;0;0;0;1;0;13.265195540953739
1496;37641;616899.29;2014;42;0;0;0;1;0;0;0;1;0;13.332461064281198
1497;37468;372802.28;2012;198;1;0;0;1;0;0;0;1;0;12.8288034776547
1498;37410;285368.77;2010;102;1;0;0;1;0;0;0;1;0;12.561537552669575
1499;37326;553206.7999999999;2016;18;0;0;0;1;0;0;0;1;0;13.223487170815776
1500;37317;433277.0;2013;72;0;0;0;1;0;0;1;0;0;12.979132525312924
1501;37243;362595.26;2015;180;1;0;0;1;0;0;0;0;1;12.801042504961515
1502;37177;343141.76;2011;228;0;0;0;1;0;0;0;0;1;12.745898935226087
1503;37139;505621.55;2015;156;0;0;0;1;0;0;0;0;1;13.133543743533048
1504;37135;746539.5599999999;2016;60;0;0;0;1;0;0;0;1;0;13.52320388852912
1505;37105;357672.75;2010;162;0;0;0;1;0;0;0;1;0;12.787373741187784
1506;36938;371392.12;2013;174;0;0;0;1;0;0;0;0;1;12.825013710658965
1507;36892;424139.23;2014;131;0;0;0;1;0;0;0;0;1;12.957817052953109
1508;36886;603430.14;2017;48;0;0;0;1;0;0;0;1;0;13.31038555474136
1509;36882;428190.66;2011;138;0;0;0;1;0;0;0;0;1;12.967323842662557
1510;36873;581830.02;2014;48;0;0;0;1;0;0;0;1;0;13.273933622199534
1511;36820;431971.18;2015;138;0;0;0;1;0;0;0;0;1;12.976114152037876
1512;36820;414473.0;2013;48;0;0;0;1;0;0;0;1;0;12.934763112714517
1513;36763;487697.42;2015;18;0;0;0;1;0;0;0;1;0;13.097450451546772
1514;36753;364951.82;2011;144;0;0;0;1;0;0;0;0;1;12.807520623851861
1515;36666;315153.22000000003;2010;240;0;0;0;1;0;0;0;0;1;12.660814212245874
1516;36555;458669.83;2016;30;0;0;0;1;0;0;0;1;0;13.036085905585859
1517;36531;391446.88;2012;138;0;0;0;1;0;0;0;1;0;12.87760510193771
1518;36374;438796.87;2014;173;0;0;0;1;0;0;0;0;1;12.991791874267525
1519;36112;411984.02;2011;78;0;0;0;1;0;0;0;0;1;12.928739841171684
1520;35862;491445.64;2011;24;0;0;1;0;0;0;1;0;0;13.105106612249246
1521;35812;312633.7;2009;78;0;0;0;1;0;0;0;1;0;12.652787496661157
1522;35698;332218.97;2010;66;0;0;0;1;0;0;0;1;0;12.713549578685075
1523;35662;698108.91;2017;54;0;0;0;1;0;0;0;0;1;13.456130401091484
1524;35480;263363.01;2009;66;0;0;0;1;0;0;0;1;0;12.481288625627887
1525;35461;398945.9;2013;216;0;0;0;1;0;0;0;0;1;12.896581097706553
1526;35212;346702.85;2010;36;1;0;1;0;0;0;0;0;1;12.756223352002754
1527;35194;234170.91;2016;54;1;0;1;0;0;0;0;0;1;12.363806512354186
1528;34979;481210.02;2016;84;0;0;0;1;0;0;0;0;1;13.08405908580851
1529;34945;494459.66;2015;210;0;0;0;1;0;0;0;0;1;13.11122084936643
1530;34915;459800.5;2014;66;0;0;0;1;0;0;0;1;0;13.038547978739944
1531;34886;340724.75;2012;96;1;0;1;0;0;0;0;1;0;12.738830245565897
1532;34835;330641.0;2010;174;0;0;0;1;0;0;1;0;0;12.708788473618496
1533;34806;473895.76;2017;66;1;1;0;0;0;0;0;0;1;13.068742660880416
1534;34802;256508.68;2014;72;0;1;0;0;0;0;0;1;0;12.454917783176342
1535;34761;410235.72;2017;114;1;0;0;1;0;0;0;0;1;12.924487200302648
1536;34731;486660.88;2017;78;0;0;0;1;0;0;0;0;1;13.095322814534759
1537;34715;451396.0;2016;36;0;0;0;1;0;0;1;0;0;13.020100282005973
1538;34642;364836.2;2010;90;0;0;0;1;0;0;0;1;0;12.80720376471524
1539;34566;477345.14;2015;36;1;0;0;1;0;0;0;1;0;13.075995072165593
1540;34403;446518.64;2016;150;1;0;1;0;0;0;0;0;1;13.009236425347805
1541;34361;365553.09;2014;24;1;0;0;1;0;0;0;1;0;12.809166800701739
